,Date,Confirmed,Active,Recovered,Death
2021-12-02,2021-12-02,6636425,11062.0,6484338.0,141025.0
2021-12-05,2021-12-05,6638071,10803.0,6486105.0,141163.0
2021-12-06,2021-12-06,6638778,10826.0,6486782.0,141170.0
2021-12-07,2021-12-07,6639296,10528.0,6487593.0,141175.0
2021-12-08,2021-12-08,6639995,10121.0,6488680.0,141194.0
2021-12-09,2021-12-09,6640888,9964.0,6489720.0,141204.0
2021-12-12,2021-12-12,6643179,10131.0,6491805.0,141243.0
2021-12-13,2021-12-13,6643883,10120.0,6492504.0,141259.0
2021-12-14,2021-12-14,6644452,10186.0,6493002.0,141264.0
2021-12-15,2021-12-15,6645136,10160.0,6493688.0,141288.0
2021-12-16,2021-12-16,6646061,10146.0,6494617.0,141298.0
2021-12-17,2021-12-17,6646938,10372.0,6495249.0,141317.0
2021-12-18,2021-12-18,6647840,10582.0,6495929.0,141329.0
2021-12-19,2021-12-19,6648694,10621.0,6496733.0,141340.0
2021-12-20,2021-12-20,6649596,10747.0,6497500.0,141349.0
2021-12-21,2021-12-21,6650140,10772.0,6498015.0,141353.0
2021-12-22,2021-12-22,6650965,10791.0,6498807.0,141367.0
2021-12-23,2021-12-23,6652166,11031.0,6499760.0,141375.0
2021-12-24,2021-12-24,6653345,11578.0,6500375.0,141392.0
2021-12-25,2021-12-25,6654755,12108.0,6501243.0,141404.0
2021-12-26,2021-12-26,6656240,12785.0,6502039.0,141416.0
2021-12-27,2021-12-27,6657888,13498.0,6502957.0,141433.0
2021-12-28,2021-12-28,6659314,14127.0,6503733.0,141454.0
2021-12-29,2021-12-29,6661486,15179.0,6504831.0,141476.0
2021-12-30,2021-12-30,6665386,17573.0,6506317.0,141496.0
2021-12-31,2021-12-31,6670754,21906.0,6507330.0,141518.0
2022-01-01,2022-01-01,6678821,28199.0,6509096.0,141526.0
2022-01-02,2022-01-02,6687991,35917.0,6510541.0,141533.0
2022-01-03,2022-01-03,6699868,45716.0,6512610.0,141542.0
2022-01-04,2022-01-04,6712028,56117.0,6514358.0,141553.0
2022-01-05,2022-01-05,6730494,70005.0,6518916.0,141573.0
2022-01-06,2022-01-06,6757032,91204.0,6524247.0,141581.0
