,date,Confirmed,Recovered,Death
2021-01-01,2021-01-01,10325823.0,9929568.0,149474.0
2021-01-02,2021-01-02,10323965.0,9927310.0,149435.0
2021-01-03,2021-01-03,10340469.0,9946867.0,149649.0
2021-01-04,2021-01-04,10356844.0,9975958.0,149850.0
2021-01-05,2021-01-05,10374932.0,9997272.0,150114.0
2021-01-06,2021-01-06,10395278.0,10016859.0,150336.0
2021-01-07,2021-01-07,10413417.0,10037398.0,150570.0
2021-01-08,2021-01-08,10413417.0,10037398.0,150570.0
2021-01-09,2021-01-09,10450284.0,10075950.0,150999.0
2021-01-10,2021-01-10,10466595.0,10092909.0,151160.0
2021-01-11,2021-01-11,10479179.0,10111294.0,151327.0
2021-01-12,2021-01-12,10495147.0,10129111.0,151529.0
2021-01-13,2021-01-13,10512093.0,10146763.0,151727.0
2021-01-14,2021-01-14,10527683.0,10162738.0,151918.0
2021-01-15,2021-01-15,10542841.0,10179715.0,152093.0
2021-01-16,2021-01-16,10557985.0,10196885.0,152274.0
2021-01-17,2021-01-17,10571773.0,10211342.0,152419.0
2021-01-18,2021-01-18,10581823.0,10228753.0,152556.0
2021-01-19,2021-01-19,10595639.0,10245741.0,152718.0
2021-01-20,2021-01-20,10610883.0,10265706.0,152869.0
2021-01-21,2021-01-21,10625428.0,10283702.0,153032.0
2021-01-22,2021-01-22,10639684.0,10300838.0,153184.0
2021-01-23,2021-01-23,10654533.0,10316786.0,153339.0
2021-01-24,2021-01-24,10667736.0,10330084.0,153470.0
2021-01-25,2021-01-25,10676838.0,10345985.0,153587.0
2021-01-26,2021-01-26,10689527.0,10359305.0,153724.0
2021-01-27,2021-01-27,10701193.0,10373606.0,153847.0
2021-01-28,2021-01-28,10720048.0,10394352.0,154010.0
2021-01-29,2021-01-29,10733130.0,10409146.0,154147.0
2021-01-30,2021-01-30,10746174.0,10423109.0,154274.0
2021-01-31,2021-01-31,10757610.0,10434983.0,154392.0
2021-02-01,2021-02-01,10766245.0,10448406.0,154486.0
2021-02-02,2021-02-02,10777284.0,10462631.0,154596.0
2021-02-03,2021-02-03,10790183.0,10480455.0,154703.0
2021-02-04,2021-02-04,10802591.0,10496308.0,154823.0
2021-02-05,2021-02-05,10814304.0,10510796.0,154918.0
2021-02-06,2021-02-06,10826363.0,10522601.0,154996.0
2021-02-07,2021-02-07,10838194.0,10534505.0,155080.0
2021-02-08,2021-02-08,10847304.0,10548521.0,155158.0
2021-02-09,2021-02-09,10858371.0,10561608.0,155252.0
2021-02-10,2021-02-10,10871294.0,10573372.0,155360.0
