,Date,Confirmed,Active,Recovered,Death
2021-12-02,2021-12-02,1616751,7712.0,1589541.0,19498.0
2021-12-05,2021-12-05,1618637,7656.0,1591447.0,19534.0
2021-12-06,2021-12-06,1619257,7639.0,1592074.0,19544.0
2021-12-07,2021-12-07,1619722,7590.0,1592579.0,19553.0
2021-12-08,2021-12-08,1620229,7576.0,1593091.0,19562.0
2021-12-09,2021-12-09,1620803,7576.0,1593659.0,19568.0
2021-12-12,2021-12-12,1622608,7562.0,1595452.0,19594.0
2021-12-13,2021-12-13,1623191,7548.0,1596043.0,19600.0
2021-12-14,2021-12-14,1623609,7517.0,1596482.0,19610.0
2021-12-15,2021-12-15,1624161,7505.0,1597036.0,19620.0
2021-12-16,2021-12-16,1624715,7490.0,1597592.0,19633.0
2021-12-17,2021-12-17,1625375,7506.0,1598224.0,19645.0
2021-12-18,2021-12-18,1625955,7513.0,1598790.0,19652.0
2021-12-19,2021-12-19,1626511,7501.0,1599350.0,19660.0
2021-12-20,2021-12-20,1627076,7489.0,1599918.0,19669.0
2021-12-21,2021-12-21,1627490,7474.0,1600340.0,19676.0
2021-12-22,2021-12-22,1627930,7451.0,1600791.0,19688.0
2021-12-23,2021-12-23,1628464,7442.0,1601326.0,19696.0
2021-12-24,2021-12-24,1628980,7433.0,1601845.0,19702.0
2021-12-25,2021-12-25,1629530,7446.0,1602377.0,19707.0
2021-12-26,2021-12-26,1630082,7458.0,1602913.0,19711.0
2021-12-27,2021-12-27,1630626,7450.0,1603460.0,19716.0
2021-12-28,2021-12-28,1631065,7433.0,1603906.0,19726.0
2021-12-29,2021-12-29,1631817,7457.0,1604627.0,19733.0
2021-12-30,2021-12-30,1632906,7727.0,1605434.0,19745.0
2021-12-31,2021-12-31,1635034,8776.0,1606501.0,19757.0
2022-01-01,2022-01-01,1638485,10710.0,1608011.0,19764.0
2022-01-02,2022-01-02,1642997,13300.0,1609924.0,19773.0
2022-01-03,2022-01-03,1649150,17038.0,1612331.0,19781.0
2022-01-04,2022-01-04,1655228,20186.0,1615248.0,19794.0
2022-01-05,2022-01-05,1664301,25475.0,1619016.0,19810.0
2022-01-06,2022-01-06,1678323,33042.0,1625454.0,19827.0
