,date,Confirmed,Recovered,Death
2021-02-01,2021-02-01,10766245,10448406,154486
2021-02-02,2021-02-02,10777284,10462631,154596
2021-02-03,2021-02-03,10790183,10480455,154703
2021-02-04,2021-02-04,10802591,10496308,154823
2021-02-05,2021-02-05,10814304,10510796,154918
2021-02-06,2021-02-06,10826363,10522601,154996
2021-02-07,2021-02-07,10838194,10534505,155080
2021-02-08,2021-02-08,10847304,10548521,155158
2021-02-09,2021-02-09,10858371,10561608,155252
2021-02-10,2021-02-10,10871294,10573372,155360
2021-02-11,2021-02-11,10880603,10589230,155447
2021-02-12,2021-02-12,10892746,10600625,155550
2021-02-13,2021-02-13,10904940,10611731,155642
2021-02-14,2021-02-14,10916589,10621220,155732
2021-02-15,2021-02-15,10925710,10633025,155813
2021-02-16,2021-02-16,10937320,10644858,155913
2021-02-17,2021-02-17,10950201,10656845,156014
2021-02-18,2021-02-18,10963394,10667741,156111
2021-02-19,2021-02-19,10977387,10678048,156212
2021-02-20,2021-02-20,10991651,10689715,156302
2021-02-21,2021-02-21,11005850,10699410,156385
2021-02-22,2021-02-22,11016434,10712665,156463
2021-02-23,2021-02-23,11030176,10726702,156567
2021-02-24,2021-02-24,11046914,10738501,156705
2021-02-25,2021-02-25,11063491,10750680,156825
2021-02-26,2021-02-26,11079979,10763451,156938
2021-02-27,2021-02-27,11096731,10775169,157051
2021-02-28,2021-02-28,11112241,10786452,157157
2021-03-01,2021-03-01,11124527,10798921,157248
2021-03-02,2021-03-02,11139516,10812044,157346
2021-03-03,2021-03-03,11156923,10826075,157435
2021-03-04,2021-03-04,11173761,10839894,157548
2021-03-05,2021-03-05,11192045,10854126,157656
2021-03-06,2021-03-06,11210799,10868520,157756
2021-03-07,2021-03-07,11229398,10882798,157853
2021-03-08,2021-03-08,11244786,10899394,157930
2021-03-09,2021-03-09,11262707,10920046,158063
2021-03-10,2021-03-10,11285561,10938146,158189
2021-03-11,2021-03-11,11308846,10953303,158306
2021-03-12,2021-03-12,11333728,10973260,158446
2021-03-13,2021-03-13,11359048,10989897,158607
2021-03-14,2021-03-14,11385339,11007352,158725
2021-03-15,2021-03-15,11409831,11027543,158856
2021-03-16,2021-03-16,11438734,11045284,159044
2021-03-17,2021-03-17,11474605,11063025,159216
2021-03-18,2021-03-18,11514331,11083679,159370
2021-03-19,2021-03-19,11555284,11107332,159558
2021-03-20,2021-03-20,11599130,11130288,159755
2021-03-21,2021-03-21,11646081,11151468,159967
2021-03-22,2021-03-22,11686796,11181253,160166
